product_name,brand_name,product_price,product_url,product_img
jordan x Union 'Air Jordan 4 SP' Sneakers,Jordan,982 €,/de/shopping/men/jordan-jordan-x-union-air-jordan-4-sp-sneakers-item-15814162.aspx,https://cdn-images.farfetch-contents.com/15/81/41/62/15814162_29561747_300.jpg
'Giggies Lovers Language' Sneakers,Valentino Garavani,590 €,/de/shopping/men/valentino-garavani-giggies-lovers-language-sneakers-item-15880700.aspx,https://cdn-images.farfetch-contents.com/15/88/07/00/15880700_29338758_300.jpg
'Godzilla' Sneakers,Philipp Plein,475 €,/de/shopping/men/philipp-plein-godzilla-sneakers-item-15524503.aspx,https://cdn-images.farfetch-contents.com/15/52/45/03/15524503_29234897_300.jpg
'Yeezy Boost 380 Blue Oat' Sneakers,adidas,531 €,/de/shopping/men/adidas-yeezy-boost-380-blue-oat-sneakers-item-15750359.aspx,https://cdn-images.farfetch-contents.com/15/75/03/59/15750359_29224218_300.jpg
Knöchelhohe Stiefel,Saint Laurent,895 €,/de/shopping/men/saint-laurent-knochelhohe-stiefel-item-15928578.aspx,https://cdn-images.farfetch-contents.com/15/92/85/78/15928578_29563107_300.jpg
Chelsea-Boots aus Lackleder,Martine Rose,495 €,/de/shopping/men/martine-rose-chelsea-boots-aus-lackleder-item-15569836.aspx,https://cdn-images.farfetch-contents.com/15/56/98/36/15569836_29441491_300.jpg
,,,,
Stiefel mit Metallkappe,Givenchy,1.195 €,/de/shopping/men/givenchy-stiefel-mit-metallkappe-item-15906769.aspx,https://cdn-images.farfetch-contents.com/15/90/67/69/15906769_29498292_300.jpg
'Antei' Sneakers,Raf Simons,379 €,/de/shopping/men/raf-simons-antei-sneakers-item-15940080.aspx,https://cdn-images.farfetch-contents.com/15/94/00/80/15940080_29575230_300.jpg
jordan x Union 'Air Jordan 4 SP' Sneakers,Jordan,2.172 €,/de/shopping/men/jordan-jordan-x-union-air-jordan-4-sp-sneakers-item-15804368.aspx,https://cdn-images.farfetch-contents.com/15/80/43/68/15804368_29161801_300.jpg
'Strand-180' Sneakers mit transparenter Sohle,A-COLD-WALL*,316 €,/de/shopping/men/a-cold-wall-strand-180-sneakers-mit-transparenter-sohle-item-15911710.aspx,https://cdn-images.farfetch-contents.com/15/91/17/10/15911710_29438625_300.jpg
'Phantom Kick$' High-Top-Sneakers,Philipp Plein,1.498 €,/de/shopping/men/philipp-plein-phantom-kick-high-top-sneakers-item-15544063.aspx,https://cdn-images.farfetch-contents.com/15/54/40/63/15544063_28922240_300.jpg
'Money Beast' High-Top-Sneakers,Philipp Plein,4.998 €,/de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-15543953.aspx,https://cdn-images.farfetch-contents.com/15/54/39/53/15543953_27895847_300.jpg
'Triple S' Sneakers,Balenciaga,850 €,/de/shopping/men/balenciaga-triple-s-sneakers-item-15735705.aspx,https://cdn-images.farfetch-contents.com/15/73/57/05/15735705_28643165_300.jpg
'Attack' Sneakers,MSGM,247 €,/de/shopping/men/msgm-attack-sneakers-item-15546989.aspx,https://cdn-images.farfetch-contents.com/15/54/69/89/15546989_29383945_300.jpg
x Reebok Instapump Fury sneakers ,Vetements,582 €,/de/shopping/men/vetements-x-reebok-instapump-fury-sneakers-item-15945391.aspx,https://cdn-images.farfetch-contents.com/15/94/53/91/15945391_29598402_300.jpg
'Volcano' Loafer mit Schriftzug,Martine Rose,475 €,/de/shopping/men/martine-rose-volcano-loafer-mit-schriftzug-item-15572342.aspx,https://cdn-images.farfetch-contents.com/15/57/23/42/15572342_29441506_300.jpg
'Condor' Loafer,Salvatore Ferragamo,650 €,/de/shopping/men/salvatore-ferragamo-condor-loafer-item-15489658.aspx,https://cdn-images.farfetch-contents.com/15/48/96/58/15489658_29438903_300.jpg
Klassische Penny-Loafer,Tod's,490 €,/de/shopping/men/tods-klassische-penny-loafer-item-15863408.aspx,https://cdn-images.farfetch-contents.com/15/86/34/08/15863408_29289167_300.jpg
'Tabi' Loafer,Maison Margiela,850 €,/de/shopping/men/maison-margiela-tabi-loafer-item-15921903.aspx,https://cdn-images.farfetch-contents.com/15/92/19/03/15921903_29483238_300.jpg
'Venturi' Sneakers,Veja,145 €,/de/shopping/men/veja-venturi-sneakers-item-15461475.aspx,https://cdn-images.farfetch-contents.com/15/46/14/75/15461475_29583754_300.jpg
'B-Runner' Sneakers,Balmain,550 €,/de/shopping/men/balmain-b-runner-sneakers-item-15492072.aspx,https://cdn-images.farfetch-contents.com/15/49/20/72/15492072_29198331_300.jpg
'OOO Out of Office' Sneakers,Off-White,390 €,/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280756.aspx,https://cdn-images.farfetch-contents.com/15/28/07/56/15280756_28940014_300.jpg
'Phantom Kick$' Jeans-Sneakers,Philipp Plein,875 €,/de/shopping/men/philipp-plein-phantom-kick-jeans-sneakers-item-15522316.aspx,https://cdn-images.farfetch-contents.com/15/52/23/16/15522316_27846278_300.jpg
'BOOST 380' Sneakers,adidas YEEZY,352 €,/de/shopping/men/adidas-yeezy-boost-380-sneakers-item-15646643.aspx,https://cdn-images.farfetch-contents.com/15/64/66/43/15646643_29261668_300.jpg
'Phantom Kick$' Sneakers,Philipp Plein,422 €,/de/shopping/men/philipp-plein-phantom-kick-sneakers-item-15541449.aspx,https://cdn-images.farfetch-contents.com/15/54/14/49/15541449_27846322_300.jpg
Talon sneakers,Giuseppe Zanotti,580 €,/de/shopping/men/giuseppe-zanotti-talon-sneakers-item-15557007.aspx,https://cdn-images.farfetch-contents.com/15/55/70/07/15557007_29568685_300.jpg
'Track.2 Open' Sneakers,Balenciaga,750 €,/de/shopping/men/balenciaga-track2-open-sneakers-item-15367962.aspx,https://cdn-images.farfetch-contents.com/15/36/79/62/15367962_29209854_300.jpg
Cowboystiefel mit Blockabsatz,Dsquared2,900 €,/de/shopping/men/dsquared2-cowboystiefel-mit-blockabsatz-item-15405935.aspx,https://cdn-images.farfetch-contents.com/15/40/59/35/15405935_29254658_300.jpg
'Comfort Craftsman' Chelsea-Boots,R.M.Williams,450 €,/de/shopping/men/rmwilliams-comfort-craftsman-chelsea-boots-item-14947371.aspx,https://cdn-images.farfetch-contents.com/14/94/73/71/14947371_26342551_300.jpg
buckle ankle boots,AMIRI,1.180 €,/de/shopping/men/amiri-buckle-ankle-boots-item-15822774.aspx,https://cdn-images.farfetch-contents.com/15/82/27/74/15822774_29171651_300.jpg
'Tread' Chelsea-Boots,Alexander McQueen,690 €,/de/shopping/men/alexander-mcqueen-tread-chelsea-boots-item-15779855.aspx,https://cdn-images.farfetch-contents.com/15/77/98/55/15779855_29216245_300.jpg
Valentino Garavani 'Rockstud' Sneakers,Valentino Garavani,540 €,/de/shopping/men/valentino-garavani-valentino-garavani-rockstud-sneakers-item-15496670.aspx,https://cdn-images.farfetch-contents.com/15/49/66/70/15496670_29235216_300.jpg
'Phantom' Sneakers,Philipp Plein,1.875 €,/de/shopping/men/philipp-plein-phantom-sneakers-item-15389069.aspx,https://cdn-images.farfetch-contents.com/15/38/90/69/15389069_29234856_300.jpg
'OOO Out of Office' Sneakers,Off-White,390 €,/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280755.aspx,https://cdn-images.farfetch-contents.com/15/28/07/55/15280755_28433284_300.jpg
'Basketball' High-Top-Sneakers,Maison Margiela,790 €,/de/shopping/men/maison-margiela-basketball-high-top-sneakers-item-15487934.aspx,https://cdn-images.farfetch-contents.com/15/48/79/34/15487934_29158376_300.jpg
'BV Level' Loafer,Bottega Veneta,650 €,/de/shopping/men/bottega-veneta-bv-level-loafer-item-15800271.aspx,https://cdn-images.farfetch-contents.com/15/80/02/71/15800271_29008391_300.jpg
'Comporta' Loafer mit Haken,Edhen Milano,719 €,/de/shopping/men/edhen-milano-comporta-loafer-mit-haken-item-15588863.aspx,https://cdn-images.farfetch-contents.com/15/58/88/63/15588863_29191232_300.jpg
Loafer mit Tabi-Kappe,Maison Margiela,846 €,/de/shopping/men/maison-margiela-loafer-mit-tabi-kappe-item-15819261.aspx,https://cdn-images.farfetch-contents.com/15/81/92/61/15819261_29064312_300.jpg
Loafer mit Quasten,Magnanni,464 €,/de/shopping/men/magnanni-loafer-mit-quasten-item-15589402.aspx,https://cdn-images.farfetch-contents.com/15/58/94/02/15589402_28880524_300.jpg
'Air Jordan 1 High OG Bio Hack' Sneakers,Jordan,419 €,/de/shopping/men/jordan-air-jordan-1-high-og-bio-hack-sneakers-item-15817659.aspx,https://cdn-images.farfetch-contents.com/15/81/76/59/15817659_29161806_300.jpg
'Air Force 1 GORE-TEX' Sneakers,Nike,253 €,/de/shopping/men/nike-air-force-1-gore-tex-sneakers-item-15820382.aspx,https://cdn-images.farfetch-contents.com/15/82/03/82/15820382_29033120_300.jpg
'OOO Out of Office' Sneakers,Off-White,390 €,/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280758.aspx,https://cdn-images.farfetch-contents.com/15/28/07/58/15280758_28932371_300.jpg
'Rython' Sneakers ,Gucci,790 €,/de/shopping/men/gucci-rython-sneakers-item-15848425.aspx,https://cdn-images.farfetch-contents.com/15/84/84/25/15848425_29052497_300.jpg
'Air Jordan 1 Mid' Sneakers,Jordan,253 €,/de/shopping/men/jordan-air-jordan-1-mid-sneakers-item-15848431.aspx,https://cdn-images.farfetch-contents.com/15/84/84/31/15848431_29216384_300.jpg
'Yeezy Boost 350 V2' Sneakers,adidas YEEZY,602 €,/de/shopping/men/adidas-yeezy-yeezy-boost-350-v2-sneakers-item-15477806.aspx,https://cdn-images.farfetch-contents.com/15/47/78/06/15477806_27920430_300.jpg
'Oversized' Sneakers,Alexander McQueen,450 €,/de/shopping/men/alexander-mcqueen-oversized-sneakers-item-15632365.aspx,https://cdn-images.farfetch-contents.com/15/63/23/65/15632365_28356149_300.jpg
'C-Run 3000' Sneakers,Marcelo Burlon County of Milan,335 €,/de/shopping/men/marcelo-burlon-county-of-milan-c-run-3000-sneakers-item-15615058.aspx,https://cdn-images.farfetch-contents.com/15/61/50/58/15615058_29050550_300.jpg
metal appliqué Oxford shoes,Neil Barrett,394 €,/de/shopping/men/neil-barrett-metal-applique-oxford-shoes-item-15837269.aspx,https://cdn-images.farfetch-contents.com/15/83/72/69/15837269_29162787_300.jpg
Oxford-Schuhe mit Kroko-Effekt,Magnanni,489 €,/de/shopping/men/magnanni-oxford-schuhe-mit-kroko-effekt-item-15588871.aspx,https://cdn-images.farfetch-contents.com/15/58/88/71/15588871_28854326_300.jpg
'Original' Loafer,Philipp Plein,650 €,/de/shopping/men/philipp-plein-original-loafer-item-14027405.aspx,https://cdn-images.farfetch-contents.com/14/02/74/05/14027405_18489200_300.jpg
lace-up shoes,Henderson Baracco,390 €,/de/shopping/men/henderson-baracco-lace-up-shoes-item-15842095.aspx,https://cdn-images.farfetch-contents.com/15/84/20/95/15842095_29271808_300.jpg
High-Top-Sneakers mit Einsätzen,Maison Margiela,730 €,/de/shopping/men/maison-margiela-high-top-sneakers-mit-einsatzen-item-15788012.aspx,https://cdn-images.farfetch-contents.com/15/78/80/12/15788012_28980457_300.jpg
'Yeezy Boost 700 MNVN' Sneakers,adidas YEEZY,805 €,/de/shopping/men/adidas-yeezy-yeezy-boost-700-mnvn-sneakers-item-15464458.aspx,https://cdn-images.farfetch-contents.com/15/46/44/58/15464458_28660834_300.jpg
'Air Jordan 1 Mid Oakland' Sneakers,Jordan,245 €,/de/shopping/men/jordan-air-jordan-1-mid-oakland-sneakers-item-15840639.aspx,https://cdn-images.farfetch-contents.com/15/84/06/39/15840639_29218665_300.jpg
High-Top-Sneakers mit Lederbesatz,AMI,270 €,/de/shopping/men/ami-high-top-sneakers-mit-lederbesatz-item-15134094.aspx,https://cdn-images.farfetch-contents.com/15/13/40/94/15134094_29612739_300.jpg
Loafer mit Quasten,Magnanni,465 €,/de/shopping/men/magnanni-loafer-mit-quasten-item-15587304.aspx,https://cdn-images.farfetch-contents.com/15/58/73/04/15587304_28853241_300.jpg
'Bruno' Loafer mit runder Kappe,Malone Souliers,443 €,/de/shopping/men/malone-souliers-bruno-loafer-mit-runder-kappe-item-15829817.aspx,https://cdn-images.farfetch-contents.com/15/82/98/17/15829817_29086984_300.jpg
Loafer mit transparentem Absatz,Giuseppe Zanotti,790 €,/de/shopping/men/giuseppe-zanotti-loafer-mit-transparentem-absatz-item-15807372.aspx,https://cdn-images.farfetch-contents.com/15/80/73/72/15807372_29010740_300.jpg
Stiefel mit Plateausohle,Rick Owens DRKSHDW,585 €,/de/shopping/men/rick-owens-drkshdw-stiefel-mit-plateausohle-item-14976630.aspx,https://cdn-images.farfetch-contents.com/14/97/66/30/14976630_25058455_300.jpg
Chelsea-Boots mit Schnalle,1017 ALYX 9SM,774 €,/de/shopping/men/1017-alyx-9sm-chelsea-boots-mit-schnalle-item-15807062.aspx,https://cdn-images.farfetch-contents.com/15/80/70/62/15807062_29006285_300.jpg
'Comfort Turnout' Chelsea-Boots,R.M.Williams,450 €,/de/shopping/men/rmwilliams-comfort-turnout-chelsea-boots-item-15150261.aspx,https://cdn-images.farfetch-contents.com/15/15/02/61/15150261_26342743_300.jpg
High-Top-Sneakers,Givenchy,850 €,/de/shopping/men/givenchy-high-top-sneakers-item-15800615.aspx,https://cdn-images.farfetch-contents.com/15/80/06/15/15800615_28992877_300.jpg
'Monster 0.2' High-Top-Sneakers,Philipp Plein,786 €,/de/shopping/men/philipp-plein-monster-02-high-top-sneakers-item-15543922.aspx,https://cdn-images.farfetch-contents.com/15/54/39/22/15543922_29720262_300.jpg
'Trail' Sneakers,Acne Studios,360 €,/de/shopping/men/acne-studios-trail-sneakers-item-15501883.aspx,https://cdn-images.farfetch-contents.com/15/50/18/83/15501883_29108183_300.jpg
Bemalte 'Tabi' High-Top-Sneakers,Maison Margiela,490 €,/de/shopping/men/maison-margiela-bemalte-tabi-high-top-sneakers-item-15807492.aspx,https://cdn-images.farfetch-contents.com/15/80/74/92/15807492_29015478_300.jpg
Flache Sneakers,Comme Des Garçons Homme Plus,628 €,/de/shopping/men/comme-des-garcons-homme-plus-flache-sneakers-item-15783162.aspx,https://cdn-images.farfetch-contents.com/15/78/31/62/15783162_29055142_300.jpg
'Ranger' Bikerstiefel,Maison Margiela,1.371 €,/de/shopping/men/maison-margiela-ranger-bikerstiefel-item-15776215.aspx,https://cdn-images.farfetch-contents.com/15/77/62/15/15776215_29005855_300.jpg
Knöchelhohe Schnürstiefel,Versace,890 €,/de/shopping/men/versace-knochelhohe-schnurstiefel-item-15807358.aspx,https://cdn-images.farfetch-contents.com/15/80/73/58/15807358_29010732_300.jpg
Knöchelhohe Schnürstiefel,Marsèll,798 €,/de/shopping/men/marsell-knochelhohe-schnurstiefel-item-15733989.aspx,https://cdn-images.farfetch-contents.com/15/73/39/89/15733989_29081494_300.jpg
Jimmy Choo x Timberland Schnürstiefel,Jimmy Choo,550 €,/de/shopping/men/jimmy-choo-jimmy-choo-x-timberland-schnurstiefel-item-15698848.aspx,https://cdn-images.farfetch-contents.com/15/69/88/48/15698848_28489642_300.jpg
Sneakers mit gemusterter Schnürung,LANVIN,681 €,/de/shopping/men/lanvin-sneakers-mit-gemusterter-schnurung-item-15931254.aspx,https://cdn-images.farfetch-contents.com/15/93/12/54/15931254_29523312_300.jpg
'Hexagon' Sneakers,Philipp Plein,650 €,/de/shopping/men/philipp-plein-hexagon-sneakers-item-15543868.aspx,https://cdn-images.farfetch-contents.com/15/54/38/68/15543868_29720256_300.jpg
'Yeezy 350 v2 Israfil' Sneakers,adidas YEEZY,498 €,/de/shopping/men/adidas-yeezy-yeezy-350-v2-israfil-sneakers-item-15798613.aspx,https://cdn-images.farfetch-contents.com/15/79/86/13/15798613_28931498_300.jpg
Prax 01 Sneakers,Prada,590 €,/de/shopping/men/prada-prax-01-sneakers-item-15792071.aspx,https://cdn-images.farfetch-contents.com/15/79/20/71/15792071_28911765_300.jpg
Schnürschuhe mit Profilsohle,Salvatore Ferragamo,595 €,/de/shopping/men/salvatore-ferragamo-schnurschuhe-mit-profilsohle-item-15461617.aspx,https://cdn-images.farfetch-contents.com/15/46/16/17/15461617_28225144_300.jpg
'Wareham' Oxford-Schuhe,Church's,550 €,/de/shopping/men/churchs-wareham-oxford-schuhe-item-14974566.aspx,https://cdn-images.farfetch-contents.com/14/97/45/66/14974566_26602632_300.jpg
Budapester mit Profilsohle,Versace,650 €,/de/shopping/men/versace-budapester-mit-profilsohle-item-14760965.aspx,https://cdn-images.farfetch-contents.com/14/76/09/65/14760965_23613374_300.jpg
'Longwing' Budapester,Thom Browne,1.170 €,/de/shopping/men/thom-browne-longwing-budapester-item-14775494.aspx,https://cdn-images.farfetch-contents.com/14/77/54/94/14775494_24013601_300.jpg
Sock-Sneakers mit Schnürung,Balenciaga,650 €,/de/shopping/men/balenciaga-sock-sneakers-mit-schnurung-item-15365501.aspx,https://cdn-images.farfetch-contents.com/15/36/55/01/15365501_28850496_300.jpg
'Air Jordan 1' Sneakers,Jordan,184 €,/de/shopping/men/jordan-air-jordan-1-sneakers-item-15793346.aspx,https://cdn-images.farfetch-contents.com/15/79/33/46/15793346_28860238_300.jpg
'700 V3' Sneakers,adidas YEEZY,703 €,/de/shopping/men/adidas-yeezy-700-v3-sneakers-item-15642989.aspx,https://cdn-images.farfetch-contents.com/15/64/29/89/15642989_28871995_300.jpg
'Odsy-1000' Sneakers,Off-White,525 €,/de/shopping/men/off-white-odsy-1000-sneakers-item-15486218.aspx,https://cdn-images.farfetch-contents.com/15/48/62/18/15486218_28844187_300.jpg
'Rocco' Stiefel,Eytys,624 €,/de/shopping/men/eytys-rocco-stiefel-item-15185723.aspx,https://cdn-images.farfetch-contents.com/15/18/57/23/15185723_28837981_300.jpg
Knöchelhohe Stiefel,Common Projects,517 €,/de/shopping/men/common-projects-knochelhohe-stiefel-item-15729237.aspx,https://cdn-images.farfetch-contents.com/15/72/92/37/15729237_28820774_300.jpg
Chelsea-Boots mit Profilsohle,Marsèll,898 €,/de/shopping/men/marsell-chelsea-boots-mit-profilsohle-item-15700429.aspx,https://cdn-images.farfetch-contents.com/15/70/04/29/15700429_28537098_300.jpg
Wildlederstiefel mit Bandana,AMIRI,1.180 €,/de/shopping/men/amiri-wildlederstiefel-mit-bandana-item-15679709.aspx,https://cdn-images.farfetch-contents.com/15/67/97/09/15679709_28874485_300.jpg
Loafer mit transparentem Absatz,Giuseppe Zanotti,895 €,/de/shopping/men/giuseppe-zanotti-loafer-mit-transparentem-absatz-item-15558008.aspx,https://cdn-images.farfetch-contents.com/15/55/80/08/15558008_28770433_300.jpg
Loafer mit eckiger Kappe,AMI,395 €,/de/shopping/men/ami-loafer-mit-eckiger-kappe-item-15134084.aspx,https://cdn-images.farfetch-contents.com/15/13/40/84/15134084_26435773_300.jpg
Monk-Schuhe,Moschino,370 €,/de/shopping/men/moschino-monk-schuhe-item-15657300.aspx,https://cdn-images.farfetch-contents.com/15/65/73/00/15657300_28428333_300.jpg
